,Year,Dist Name,Crop,Area(1000 ha),Production(1000 tons),Yield(Kg per ha),Total Rainfall,Avg Temp
9039,1997,Ahmednagar,RICE,10.3,12.6,1223.3,261.0,20.586875
9041,1997,Ahmednagar,KHARIF SORGHUM,5.5,6.7,1218.18,261.0,20.586875
9044,1997,Ahmednagar,PEARL MILLET,343.3,191.4,557.53,261.0,20.586875
9045,1997,Ahmednagar,MAIZE,10.4,15.6,1500.0,261.0,20.586875
9046,1997,Ahmednagar,FINGER MILLET,3.6,2.9,805.56,261.0,20.586875
9049,1997,Ahmednagar,PIGEONPEA,21.3,7.7,361.5,261.0,20.586875
9050,1997,Ahmednagar,MINOR PULSES,45.7,8.4,183.81,261.0,20.586875
9051,1997,Ahmednagar,GROUNDNUT,15.0,26.4,1760.0,261.0,20.586875
9052,1997,Ahmednagar,SESAMUM,1.3,0.2,153.85,261.0,20.586875
9057,1997,Ahmednagar,SUNFLOWER,15.7,7.7,490.45,261.0,20.586875
9058,1997,Ahmednagar,SOYABEAN,3.8,3.1,815.79,261.0,20.586875
9059,1997,Ahmednagar,OILSEEDS,84.9,56.7,667.84,261.0,20.586875
9060,1997,Ahmednagar,SUGARCANE,42.3,368.09,8701.89,261.0,20.586875
9061,1997,Ahmednagar,COTTON,4.1,1.28,312.2,261.0,20.586875
40043,1997,Ahmednagar,RICE,10.3,12.6,1223.3,261.0,20.586875
40045,1997,Ahmednagar,KHARIF SORGHUM,5.5,6.7,1218.18,261.0,20.586875
40048,1997,Ahmednagar,PEARL MILLET,343.3,191.4,557.53,261.0,20.586875
40049,1997,Ahmednagar,MAIZE,10.4,15.6,1500.0,261.0,20.586875
40050,1997,Ahmednagar,FINGER MILLET,3.6,2.9,805.56,261.0,20.586875
40053,1997,Ahmednagar,PIGEONPEA,21.3,7.7,361.5,261.0,20.586875
40054,1997,Ahmednagar,MINOR PULSES,45.7,8.4,183.81,261.0,20.586875
40055,1997,Ahmednagar,GROUNDNUT,15.0,26.4,1760.0,261.0,20.586875
40056,1997,Ahmednagar,SESAMUM,1.3,0.2,153.85,261.0,20.586875
40061,1997,Ahmednagar,SUNFLOWER,15.7,7.7,490.45,261.0,20.586875
40062,1997,Ahmednagar,SOYABEAN,3.8,3.1,815.79,261.0,20.586875
40063,1997,Ahmednagar,OILSEEDS,84.9,56.7,667.84,261.0,20.586875
40064,1997,Ahmednagar,SUGARCANE,42.3,368.09,8701.89,261.0,20.586875
40065,1997,Ahmednagar,COTTON,4.1,1.28,312.2,261.0,20.586875
23391,1997,Akola,RICE,3.3,1.8,545.45,384.2,22.08
23393,1997,Akola,KHARIF SORGHUM,207.7,311.2,1498.31,384.2,22.08
23396,1997,Akola,PEARL MILLET,5.0,2.1,420.0,384.2,22.08
23397,1997,Akola,MAIZE,0.8,1.2,1500.0,384.2,22.08
23398,1997,Akola,FINGER MILLET,0.0,0.0,0.0,384.2,22.08
23401,1997,Akola,PIGEONPEA,80.1,63.5,792.76,384.2,22.08
23402,1997,Akola,MINOR PULSES,212.5,87.9,413.65,384.2,22.08
23403,1997,Akola,GROUNDNUT,3.7,2.3,621.62,384.2,22.08
23404,1997,Akola,SESAMUM,6.0,2.0,333.33,384.2,22.08
23409,1997,Akola,SUNFLOWER,18.7,4.2,224.6,384.2,22.08
23410,1997,Akola,SOYABEAN,40.5,49.6,1224.69,384.2,22.08
23411,1997,Akola,OILSEEDS,107.8,56.0,519.48,384.2,22.08
23412,1997,Akola,SUGARCANE,2.4,25.89,10787.5,384.2,22.08
23413,1997,Akola,COTTON,360.9,30.69,85.04,384.2,22.08
54395,1997,Akola,RICE,3.3,1.8,545.45,384.2,22.08
54397,1997,Akola,KHARIF SORGHUM,207.7,311.2,1498.31,384.2,22.08
54400,1997,Akola,PEARL MILLET,5.0,2.1,420.0,384.2,22.08
54401,1997,Akola,MAIZE,0.8,1.2,1500.0,384.2,22.08
54402,1997,Akola,FINGER MILLET,0.0,0.0,0.0,384.2,22.08
54405,1997,Akola,PIGEONPEA,80.1,63.5,792.76,384.2,22.08
54406,1997,Akola,MINOR PULSES,212.5,87.9,413.65,384.2,22.08
54407,1997,Akola,GROUNDNUT,3.7,2.3,621.62,384.2,22.08
54408,1997,Akola,SESAMUM,6.0,2.0,333.33,384.2,22.08
54413,1997,Akola,SUNFLOWER,18.7,4.2,224.6,384.2,22.08
54414,1997,Akola,SOYABEAN,40.5,49.6,1224.69,384.2,22.08
54415,1997,Akola,OILSEEDS,107.8,56.0,519.48,384.2,22.08
54416,1997,Akola,SUGARCANE,2.4,25.89,10787.5,384.2,22.08
54417,1997,Akola,COTTON,360.9,30.69,85.04,384.2,22.08
24587,1997,Amarawati,RICE,9.0,5.5,611.11,651.0,21.5434375
24589,1997,Amarawati,KHARIF SORGHUM,124.4,181.3,1457.4,651.0,21.5434375
24592,1997,Amarawati,PEARL MILLET,2.0,0.8,400.0,651.0,21.5434375
24593,1997,Amarawati,MAIZE,0.7,1.0,1428.57,651.0,21.5434375
24594,1997,Amarawati,FINGER MILLET,0.0,0.0,0.0,651.0,21.5434375
24597,1997,Amarawati,PIGEONPEA,78.5,57.7,735.03,651.0,21.5434375
24598,1997,Amarawati,MINOR PULSES,63.6,23.7,372.64,651.0,21.5434375
24599,1997,Amarawati,GROUNDNUT,13.1,11.7,893.13,651.0,21.5434375
24600,1997,Amarawati,SESAMUM,2.1,0.6,285.71,651.0,21.5434375
24605,1997,Amarawati,SUNFLOWER,3.5,0.9,257.14,651.0,21.5434375
24606,1997,Amarawati,SOYABEAN,115.1,118.0,1025.2,651.0,21.5434375
24607,1997,Amarawati,OILSEEDS,152.5,135.4,887.87,651.0,21.5434375
24608,1997,Amarawati,SUGARCANE,2.4,23.95,9979.17,651.0,21.5434375
24609,1997,Amarawati,COTTON,347.9,20.18,58.01,651.0,21.5434375
55591,1997,Amarawati,RICE,9.0,5.5,611.11,651.0,21.5434375
55593,1997,Amarawati,KHARIF SORGHUM,124.4,181.3,1457.4,651.0,21.5434375
55596,1997,Amarawati,PEARL MILLET,2.0,0.8,400.0,651.0,21.5434375
55597,1997,Amarawati,MAIZE,0.7,1.0,1428.57,651.0,21.5434375
55598,1997,Amarawati,FINGER MILLET,0.0,0.0,0.0,651.0,21.5434375
55601,1997,Amarawati,PIGEONPEA,78.5,57.7,735.03,651.0,21.5434375
55602,1997,Amarawati,MINOR PULSES,63.6,23.7,372.64,651.0,21.5434375
55603,1997,Amarawati,GROUNDNUT,13.1,11.7,893.13,651.0,21.5434375
55604,1997,Amarawati,SESAMUM,2.1,0.6,285.71,651.0,21.5434375
55609,1997,Amarawati,SUNFLOWER,3.5,0.9,257.14,651.0,21.5434375
55610,1997,Amarawati,SOYABEAN,115.1,118.0,1025.2,651.0,21.5434375
55611,1997,Amarawati,OILSEEDS,152.5,135.4,887.87,651.0,21.5434375
55612,1997,Amarawati,SUGARCANE,2.4,23.95,9979.17,651.0,21.5434375
55613,1997,Amarawati,COTTON,347.9,20.18,58.01,651.0,21.5434375
16215,1997,Aurangabad,RICE,3.5,4.5,1285.71,,
16217,1997,Aurangabad,KHARIF SORGHUM,64.4,71.8,1114.91,,
16220,1997,Aurangabad,PEARL MILLET,229.5,180.5,786.49,,
16221,1997,Aurangabad,MAIZE,73.4,109.7,1494.55,,
16222,1997,Aurangabad,FINGER MILLET,0.0,0.0,0.0,,
16225,1997,Aurangabad,PIGEONPEA,76.3,9.5,124.51,,
16226,1997,Aurangabad,MINOR PULSES,117.0,29.5,252.14,,
16227,1997,Aurangabad,GROUNDNUT,18.2,10.9,598.9,,
16228,1997,Aurangabad,SESAMUM,9.1,1.7,186.81,,
16233,1997,Aurangabad,SUNFLOWER,32.1,11.3,352.02,,
16234,1997,Aurangabad,SOYABEAN,6.5,4.6,707.69,,
16235,1997,Aurangabad,OILSEEDS,158.6,33.5,211.22,,
16236,1997,Aurangabad,SUGARCANE,15.9,156.45,9839.62,,
16237,1997,Aurangabad,COTTON,317.0,34.02,107.32,,
47219,1997,Aurangabad,RICE,3.5,4.5,1285.71,,
47221,1997,Aurangabad,KHARIF SORGHUM,64.4,71.8,1114.91,,
47224,1997,Aurangabad,PEARL MILLET,229.5,180.5,786.49,,
47225,1997,Aurangabad,MAIZE,73.4,109.7,1494.55,,
47226,1997,Aurangabad,FINGER MILLET,0.0,0.0,0.0,,
47229,1997,Aurangabad,PIGEONPEA,76.3,9.5,124.51,,
47230,1997,Aurangabad,MINOR PULSES,117.0,29.5,252.14,,
47231,1997,Aurangabad,GROUNDNUT,18.2,10.9,598.9,,
47232,1997,Aurangabad,SESAMUM,9.1,1.7,186.81,,
47237,1997,Aurangabad,SUNFLOWER,32.1,11.3,352.02,,
47238,1997,Aurangabad,SOYABEAN,6.5,4.6,707.69,,
47239,1997,Aurangabad,OILSEEDS,158.6,33.5,211.22,,
47240,1997,Aurangabad,SUGARCANE,15.9,156.45,9839.62,,
47241,1997,Aurangabad,COTTON,317.0,34.02,107.32,,
18607,1997,Beed,RICE,5.2,8.0,1538.46,413.8,20.46
18609,1997,Beed,KHARIF SORGHUM,80.2,61.5,766.83,413.8,20.46
18612,1997,Beed,PEARL MILLET,162.6,83.8,515.38,413.8,20.46
18613,1997,Beed,MAIZE,4.7,7.0,1489.36,413.8,20.46
18614,1997,Beed,FINGER MILLET,0.0,0.0,0.0,413.8,20.46
18617,1997,Beed,PIGEONPEA,47.0,7.7,163.83,413.8,20.46
18618,1997,Beed,MINOR PULSES,40.8,9.2,225.49,413.8,20.46
18619,1997,Beed,GROUNDNUT,20.6,7.7,373.79,413.8,20.46
18620,1997,Beed,SESAMUM,7.7,1.4,181.82,413.8,20.46
18625,1997,Beed,SUNFLOWER,41.7,15.7,376.5,413.8,20.46
18626,1997,Beed,SOYABEAN,2.0,0.5,250.0,413.8,20.46
18627,1997,Beed,OILSEEDS,118.1,28.0,237.09,413.8,20.46
18628,1997,Beed,SUGARCANE,9.4,116.18,12359.58,413.8,20.46
18629,1997,Beed,COTTON,92.3,9.04,97.94,413.8,20.46
49611,1997,Beed,RICE,5.2,8.0,1538.46,413.8,20.46
49613,1997,Beed,KHARIF SORGHUM,80.2,61.5,766.83,413.8,20.46
49616,1997,Beed,PEARL MILLET,162.6,83.8,515.38,413.8,20.46
49617,1997,Beed,MAIZE,4.7,7.0,1489.36,413.8,20.46
49618,1997,Beed,FINGER MILLET,0.0,0.0,0.0,413.8,20.46
49621,1997,Beed,PIGEONPEA,47.0,7.7,163.83,413.8,20.46
49622,1997,Beed,MINOR PULSES,40.8,9.2,225.49,413.8,20.46
49623,1997,Beed,GROUNDNUT,20.6,7.7,373.79,413.8,20.46
49624,1997,Beed,SESAMUM,7.7,1.4,181.82,413.8,20.46
49629,1997,Beed,SUNFLOWER,41.7,15.7,376.5,413.8,20.46
49630,1997,Beed,SOYABEAN,2.0,0.5,250.0,413.8,20.46
49631,1997,Beed,OILSEEDS,118.1,28.0,237.09,413.8,20.46
49632,1997,Beed,SUGARCANE,9.4,116.18,12359.58,413.8,20.46
49633,1997,Beed,COTTON,92.3,9.04,97.94,413.8,20.46
29371,1997,Bhandara,RICE,286.7,359.5,1253.92,930.4,22.7734375
29373,1997,Bhandara,KHARIF SORGHUM,0.4,0.3,750.0,930.4,22.7734375
29376,1997,Bhandara,PEARL MILLET,0.0,0.0,0.0,930.4,22.7734375
29377,1997,Bhandara,MAIZE,0.2,0.3,1500.0,930.4,22.7734375
29378,1997,Bhandara,FINGER MILLET,0.0,0.0,0.0,930.4,22.7734375
29381,1997,Bhandara,PIGEONPEA,9.1,2.4,263.74,930.4,22.7734375
29382,1997,Bhandara,MINOR PULSES,52.5,19.2,365.71,930.4,22.7734375
29383,1997,Bhandara,GROUNDNUT,0.4,0.5,1250.0,930.4,22.7734375
29384,1997,Bhandara,SESAMUM,5.8,0.5,86.21,930.4,22.7734375
29389,1997,Bhandara,SUNFLOWER,0.2,0.0,0.0,930.4,22.7734375
29390,1997,Bhandara,SOYABEAN,20.6,19.7,956.31,930.4,22.7734375
29391,1997,Bhandara,OILSEEDS,46.6,15.2,326.18,930.4,22.7734375
29392,1997,Bhandara,SUGARCANE,2.4,29.13,12137.5,930.4,22.7734375
29393,1997,Bhandara,COTTON,0.0,0.0,0.0,930.4,22.7734375
60375,1997,Bhandara,RICE,286.7,359.5,1253.92,930.4,22.7734375
60377,1997,Bhandara,KHARIF SORGHUM,0.4,0.3,750.0,930.4,22.7734375
60380,1997,Bhandara,PEARL MILLET,0.0,0.0,0.0,930.4,22.7734375
60381,1997,Bhandara,MAIZE,0.2,0.3,1500.0,930.4,22.7734375
60382,1997,Bhandara,FINGER MILLET,0.0,0.0,0.0,930.4,22.7734375
60385,1997,Bhandara,PIGEONPEA,9.1,2.4,263.74,930.4,22.7734375
60386,1997,Bhandara,MINOR PULSES,52.5,19.2,365.71,930.4,22.7734375
60387,1997,Bhandara,GROUNDNUT,0.4,0.5,1250.0,930.4,22.7734375
60388,1997,Bhandara,SESAMUM,5.8,0.5,86.21,930.4,22.7734375
60393,1997,Bhandara,SUNFLOWER,0.2,0.0,0.0,930.4,22.7734375
60394,1997,Bhandara,SOYABEAN,20.6,19.7,956.31,930.4,22.7734375
60395,1997,Bhandara,OILSEEDS,46.6,15.2,326.18,930.4,22.7734375
60396,1997,Bhandara,SUGARCANE,2.4,29.13,12137.5,930.4,22.7734375
60397,1997,Bhandara,COTTON,0.0,0.0,0.0,930.4,22.7734375
759,1997,Bombay,RICE,0.0,0.0,0.0,,
761,1997,Bombay,KHARIF SORGHUM,0.0,0.0,0.0,,
764,1997,Bombay,PEARL MILLET,0.0,0.0,0.0,,
765,1997,Bombay,MAIZE,0.0,0.0,0.0,,
766,1997,Bombay,FINGER MILLET,0.0,0.0,0.0,,
769,1997,Bombay,PIGEONPEA,0.0,0.0,0.0,,
770,1997,Bombay,MINOR PULSES,0.0,0.0,0.0,,
771,1997,Bombay,GROUNDNUT,0.0,0.0,0.0,,
772,1997,Bombay,SESAMUM,0.0,0.0,0.0,,
777,1997,Bombay,SUNFLOWER,0.0,0.0,0.0,,
778,1997,Bombay,SOYABEAN,0.0,0.0,0.0,,
779,1997,Bombay,OILSEEDS,0.0,0.0,0.0,,
780,1997,Bombay,SUGARCANE,0.0,0.0,0.0,,
781,1997,Bombay,COTTON,0.0,0.0,0.0,,
31763,1997,Bombay,RICE,0.0,0.0,0.0,,
31765,1997,Bombay,KHARIF SORGHUM,0.0,0.0,0.0,,
31768,1997,Bombay,PEARL MILLET,0.0,0.0,0.0,,
31769,1997,Bombay,MAIZE,0.0,0.0,0.0,,
31770,1997,Bombay,FINGER MILLET,0.0,0.0,0.0,,
31773,1997,Bombay,PIGEONPEA,0.0,0.0,0.0,,
31774,1997,Bombay,MINOR PULSES,0.0,0.0,0.0,,
31775,1997,Bombay,GROUNDNUT,0.0,0.0,0.0,,
31776,1997,Bombay,SESAMUM,0.0,0.0,0.0,,
31781,1997,Bombay,SUNFLOWER,0.0,0.0,0.0,,
31782,1997,Bombay,SOYABEAN,0.0,0.0,0.0,,
31783,1997,Bombay,OILSEEDS,0.0,0.0,0.0,,
31784,1997,Bombay,SUGARCANE,0.0,0.0,0.0,,
31785,1997,Bombay,COTTON,0.0,0.0,0.0,,
22195,1997,Buldhana,RICE,0.7,0.3,428.57,664.4,21.4371875
22197,1997,Buldhana,KHARIF SORGHUM,164.0,197.9,1206.71,664.4,21.4371875
22200,1997,Buldhana,PEARL MILLET,10.9,4.6,422.02,664.4,21.4371875
22201,1997,Buldhana,MAIZE,13.9,20.8,1496.4,664.4,21.4371875
22202,1997,Buldhana,FINGER MILLET,0.0,0.0,0.0,664.4,21.4371875
22205,1997,Buldhana,PIGEONPEA,60.0,28.2,470.0,664.4,21.4371875
22206,1997,Buldhana,MINOR PULSES,139.3,39.7,285.0,664.4,21.4371875
22207,1997,Buldhana,GROUNDNUT,5.2,3.6,692.31,664.4,21.4371875
22208,1997,Buldhana,SESAMUM,8.5,2.6,305.88,664.4,21.4371875
22213,1997,Buldhana,SUNFLOWER,12.3,3.7,300.81,664.4,21.4371875
22214,1997,Buldhana,SOYABEAN,38.3,31.0,809.4,664.4,21.4371875
22215,1997,Buldhana,OILSEEDS,104.0,44.0,423.08,664.4,21.4371875
22216,1997,Buldhana,SUGARCANE,0.5,6.87,13740.0,664.4,21.4371875
22217,1997,Buldhana,COTTON,267.9,20.62,76.97,664.4,21.4371875
53199,1997,Buldhana,RICE,0.7,0.3,428.57,664.4,21.4371875
53201,1997,Buldhana,KHARIF SORGHUM,164.0,197.9,1206.71,664.4,21.4371875
53204,1997,Buldhana,PEARL MILLET,10.9,4.6,422.02,664.4,21.4371875
53205,1997,Buldhana,MAIZE,13.9,20.8,1496.4,664.4,21.4371875
53206,1997,Buldhana,FINGER MILLET,0.0,0.0,0.0,664.4,21.4371875
53209,1997,Buldhana,PIGEONPEA,60.0,28.2,470.0,664.4,21.4371875
53210,1997,Buldhana,MINOR PULSES,139.3,39.7,285.0,664.4,21.4371875
53211,1997,Buldhana,GROUNDNUT,5.2,3.6,692.31,664.4,21.4371875
53212,1997,Buldhana,SESAMUM,8.5,2.6,305.88,664.4,21.4371875
53217,1997,Buldhana,SUNFLOWER,12.3,3.7,300.81,664.4,21.4371875
53218,1997,Buldhana,SOYABEAN,38.3,31.0,809.4,664.4,21.4371875
53219,1997,Buldhana,OILSEEDS,104.0,44.0,423.08,664.4,21.4371875
53220,1997,Buldhana,SUGARCANE,0.5,6.87,13740.0,664.4,21.4371875
53221,1997,Buldhana,COTTON,267.9,20.62,76.97,664.4,21.4371875
30567,1997,Chandrapur,RICE,280.1,348.1,1242.77,749.1,22.93
30569,1997,Chandrapur,KHARIF SORGHUM,23.6,14.6,618.64,749.1,22.93
30572,1997,Chandrapur,PEARL MILLET,0.1,0.1,1000.0,749.1,22.93
30573,1997,Chandrapur,MAIZE,2.1,3.1,1476.19,749.1,22.93
30574,1997,Chandrapur,FINGER MILLET,0.0,0.0,0.0,749.1,22.93
30577,1997,Chandrapur,PIGEONPEA,33.3,10.5,315.32,749.1,22.93
30578,1997,Chandrapur,MINOR PULSES,65.9,25.4,385.43,749.1,22.93
30579,1997,Chandrapur,GROUNDNUT,0.8,0.8,1000.0,749.1,22.93
30580,1997,Chandrapur,SESAMUM,13.6,1.1,80.88,749.1,22.93
30585,1997,Chandrapur,SUNFLOWER,1.0,0.2,200.0,749.1,22.93
30586,1997,Chandrapur,SOYABEAN,58.1,73.7,1268.5,749.1,22.93
30587,1997,Chandrapur,OILSEEDS,114.6,139.7,1219.02,749.1,22.93
30588,1997,Chandrapur,SUGARCANE,0.0,0.0,0.0,749.1,22.93
30589,1997,Chandrapur,COTTON,52.8,5.49,103.98,749.1,22.93
61571,1997,Chandrapur,RICE,280.1,348.1,1242.77,749.1,22.93
61573,1997,Chandrapur,KHARIF SORGHUM,23.6,14.6,618.64,749.1,22.93
61576,1997,Chandrapur,PEARL MILLET,0.1,0.1,1000.0,749.1,22.93
61577,1997,Chandrapur,MAIZE,2.1,3.1,1476.19,749.1,22.93
61578,1997,Chandrapur,FINGER MILLET,0.0,0.0,0.0,749.1,22.93
61581,1997,Chandrapur,PIGEONPEA,33.3,10.5,315.32,749.1,22.93
61582,1997,Chandrapur,MINOR PULSES,65.9,25.4,385.43,749.1,22.93
61583,1997,Chandrapur,GROUNDNUT,0.8,0.8,1000.0,749.1,22.93
61584,1997,Chandrapur,SESAMUM,13.6,1.1,80.88,749.1,22.93
61589,1997,Chandrapur,SUNFLOWER,1.0,0.2,200.0,749.1,22.93
61590,1997,Chandrapur,SOYABEAN,58.1,73.7,1268.5,749.1,22.93
61591,1997,Chandrapur,OILSEEDS,114.6,139.7,1219.02,749.1,22.93
61592,1997,Chandrapur,SUGARCANE,0.0,0.0,0.0,749.1,22.93
61593,1997,Chandrapur,COTTON,52.8,5.49,103.98,749.1,22.93
6647,1997,Dhule,RICE,32.4,27.1,836.42,359.0,22.088125
6649,1997,Dhule,KHARIF SORGHUM,67.2,84.9,1263.39,359.0,22.088125
6652,1997,Dhule,PEARL MILLET,174.0,161.7,929.31,359.0,22.088125
6653,1997,Dhule,MAIZE,19.8,34.7,1752.53,359.0,22.088125
6654,1997,Dhule,FINGER MILLET,7.4,10.2,1378.38,359.0,22.088125
6657,1997,Dhule,PIGEONPEA,28.4,17.9,630.28,359.0,22.088125
6658,1997,Dhule,MINOR PULSES,95.2,65.5,688.03,359.0,22.088125
6659,1997,Dhule,GROUNDNUT,80.8,74.2,918.32,359.0,22.088125
6660,1997,Dhule,SESAMUM,9.7,3.6,371.13,359.0,22.088125
6665,1997,Dhule,SUNFLOWER,0.8,0.6,750.0,359.0,22.088125
6666,1997,Dhule,SOYABEAN,3.5,4.2,1200.0,359.0,22.088125
6667,1997,Dhule,OILSEEDS,97.8,75.2,768.92,359.0,22.088125
6668,1997,Dhule,SUGARCANE,9.8,81.43,8309.18,359.0,22.088125
6669,1997,Dhule,COTTON,92.6,15.83,170.95,359.0,22.088125
37651,1997,Dhule,RICE,32.4,27.1,836.42,359.0,22.088125
37653,1997,Dhule,KHARIF SORGHUM,67.2,84.9,1263.39,359.0,22.088125
37656,1997,Dhule,PEARL MILLET,174.0,161.7,929.31,359.0,22.088125
37657,1997,Dhule,MAIZE,19.8,34.7,1752.53,359.0,22.088125
37658,1997,Dhule,FINGER MILLET,7.4,10.2,1378.38,359.0,22.088125
37661,1997,Dhule,PIGEONPEA,28.4,17.9,630.28,359.0,22.088125
37662,1997,Dhule,MINOR PULSES,95.2,65.5,688.03,359.0,22.088125
37663,1997,Dhule,GROUNDNUT,80.8,74.2,918.32,359.0,22.088125
37664,1997,Dhule,SESAMUM,9.7,3.6,371.13,359.0,22.088125
37669,1997,Dhule,SUNFLOWER,0.8,0.6,750.0,359.0,22.088125
37670,1997,Dhule,SOYABEAN,3.5,4.2,1200.0,359.0,22.088125
37671,1997,Dhule,OILSEEDS,97.8,75.2,768.92,359.0,22.088125
37672,1997,Dhule,SUGARCANE,9.8,81.43,8309.18,359.0,22.088125
37673,1997,Dhule,COTTON,92.6,15.83,170.95,359.0,22.088125
7843,1997,Jalgaon,RICE,1.7,1.6,941.18,628.2,21.9521875
7845,1997,Jalgaon,KHARIF SORGHUM,153.9,312.2,2028.59,628.2,21.9521875
7848,1997,Jalgaon,PEARL MILLET,80.8,93.6,1158.42,628.2,21.9521875
7849,1997,Jalgaon,MAIZE,8.5,12.7,1494.12,628.2,21.9521875
7850,1997,Jalgaon,FINGER MILLET,0.0,0.0,0.0,628.2,21.9521875
7853,1997,Jalgaon,PIGEONPEA,24.3,7.4,304.53,628.2,21.9521875
7854,1997,Jalgaon,MINOR PULSES,106.2,57.5,541.43,628.2,21.9521875
7855,1997,Jalgaon,GROUNDNUT,23.5,23.5,1000.0,628.2,21.9521875
7856,1997,Jalgaon,SESAMUM,27.9,10.4,372.76,628.2,21.9521875
7861,1997,Jalgaon,SUNFLOWER,2.1,1.8,857.14,628.2,21.9521875
7862,1997,Jalgaon,SOYABEAN,3.3,3.9,1181.82,628.2,21.9521875
7863,1997,Jalgaon,OILSEEDS,60.9,35.8,587.85,628.2,21.9521875
7864,1997,Jalgaon,SUGARCANE,16.0,84.37,5273.13,628.2,21.9521875
7865,1997,Jalgaon,COTTON,287.8,53.24,184.99,628.2,21.9521875
38847,1997,Jalgaon,RICE,1.7,1.6,941.18,628.2,21.9521875
38849,1997,Jalgaon,KHARIF SORGHUM,153.9,312.2,2028.59,628.2,21.9521875
38852,1997,Jalgaon,PEARL MILLET,80.8,93.6,1158.42,628.2,21.9521875
38853,1997,Jalgaon,MAIZE,8.5,12.7,1494.12,628.2,21.9521875
38854,1997,Jalgaon,FINGER MILLET,0.0,0.0,0.0,628.2,21.9521875
38857,1997,Jalgaon,PIGEONPEA,24.3,7.4,304.53,628.2,21.9521875
38858,1997,Jalgaon,MINOR PULSES,106.2,57.5,541.43,628.2,21.9521875
38859,1997,Jalgaon,GROUNDNUT,23.5,23.5,1000.0,628.2,21.9521875
38860,1997,Jalgaon,SESAMUM,27.9,10.4,372.76,628.2,21.9521875
38865,1997,Jalgaon,SUNFLOWER,2.1,1.8,857.14,628.2,21.9521875
38866,1997,Jalgaon,SOYABEAN,3.3,3.9,1181.82,628.2,21.9521875
38867,1997,Jalgaon,OILSEEDS,60.9,35.8,587.85,628.2,21.9521875
38868,1997,Jalgaon,SUGARCANE,16.0,84.37,5273.13,628.2,21.9521875
38869,1997,Jalgaon,COTTON,287.8,53.24,184.99,628.2,21.9521875
15019,1997,Kolhapur,RICE,110.1,252.9,2297.0,947.0,19.8290625
15021,1997,Kolhapur,KHARIF SORGHUM,16.2,23.4,1444.44,947.0,19.8290625
15024,1997,Kolhapur,PEARL MILLET,0.3,0.1,333.33,947.0,19.8290625
15025,1997,Kolhapur,MAIZE,3.8,5.7,1500.0,947.0,19.8290625
15026,1997,Kolhapur,FINGER MILLET,23.8,23.4,983.19,947.0,19.8290625
15029,1997,Kolhapur,PIGEONPEA,2.7,0.7,259.26,947.0,19.8290625
15030,1997,Kolhapur,MINOR PULSES,13.7,5.4,394.16,947.0,19.8290625
15031,1997,Kolhapur,GROUNDNUT,47.3,79.0,1670.19,947.0,19.8290625
15032,1997,Kolhapur,SESAMUM,2.3,0.3,130.43,947.0,19.8290625
15037,1997,Kolhapur,SUNFLOWER,0.2,0.2,1000.0,947.0,19.8290625
15038,1997,Kolhapur,SOYABEAN,53.0,53.6,1011.32,947.0,19.8290625
15039,1997,Kolhapur,OILSEEDS,109.3,161.6,1478.5,947.0,19.8290625
15040,1997,Kolhapur,SUGARCANE,83.7,659.49,7879.21,947.0,19.8290625
15041,1997,Kolhapur,COTTON,0.1,0.03,300.0,947.0,19.8290625
46023,1997,Kolhapur,RICE,110.1,252.9,2297.0,947.0,19.8290625
46025,1997,Kolhapur,KHARIF SORGHUM,16.2,23.4,1444.44,947.0,19.8290625
46028,1997,Kolhapur,PEARL MILLET,0.3,0.1,333.33,947.0,19.8290625
46029,1997,Kolhapur,MAIZE,3.8,5.7,1500.0,947.0,19.8290625
46030,1997,Kolhapur,FINGER MILLET,23.8,23.4,983.19,947.0,19.8290625
46033,1997,Kolhapur,PIGEONPEA,2.7,0.7,259.26,947.0,19.8290625
46034,1997,Kolhapur,MINOR PULSES,13.7,5.4,394.16,947.0,19.8290625
46035,1997,Kolhapur,GROUNDNUT,47.3,79.0,1670.19,947.0,19.8290625
46036,1997,Kolhapur,SESAMUM,2.3,0.3,130.43,947.0,19.8290625
46041,1997,Kolhapur,SUNFLOWER,0.2,0.2,1000.0,947.0,19.8290625
46042,1997,Kolhapur,SOYABEAN,53.0,53.6,1011.32,947.0,19.8290625
46043,1997,Kolhapur,OILSEEDS,109.3,161.6,1478.5,947.0,19.8290625
46044,1997,Kolhapur,SUGARCANE,83.7,659.49,7879.21,947.0,19.8290625
46045,1997,Kolhapur,COTTON,0.1,0.03,300.0,947.0,19.8290625
28175,1997,Nagpur,RICE,53.5,43.6,814.95,743.8,22.16
28177,1997,Nagpur,KHARIF SORGHUM,60.7,53.2,876.44,743.8,22.16
28180,1997,Nagpur,PEARL MILLET,0.1,0.1,1000.0,743.8,22.16
28181,1997,Nagpur,MAIZE,0.3,0.4,1333.33,743.8,22.16
28182,1997,Nagpur,FINGER MILLET,0.0,0.0,0.0,743.8,22.16
28185,1997,Nagpur,PIGEONPEA,49.6,9.1,183.47,743.8,22.16
28186,1997,Nagpur,MINOR PULSES,24.0,8.3,345.83,743.8,22.16
28187,1997,Nagpur,GROUNDNUT,14.9,13.0,872.48,743.8,22.16
28188,1997,Nagpur,SESAMUM,1.3,0.2,153.85,743.8,22.16
28193,1997,Nagpur,SUNFLOWER,0.3,1.1,3666.67,743.8,22.16
